"Row_no" "Date" "Detrended_demand_GWh"
"91" "1975-04-01" "938"
"92" "1975-04-02" "939"
"93" "1975-04-03" "939"
"94" "1975-04-04" "938"
"95" "1975-04-05" "932"
"96" "1975-04-06" "933"
"97" "1975-04-07" "927"
"98" "1975-04-08" "961"
"99" "1975-04-09" "956"
"100" "1975-04-10" "952"
"101" "1975-04-11" "902"
"102" "1975-04-12" "872"
"103" "1975-04-13" "873"
"104" "1975-04-14" "844"
"105" "1975-04-15" "854"
"106" "1975-04-16" "836"
"107" "1975-04-17" "837"
"108" "1975-04-18" "792"
"109" "1975-04-19" "793"
"110" "1975-04-20" "793"
"111" "1975-04-21" "794"
"112" "1975-04-22" "780"
"113" "1975-04-23" "774"
"114" "1975-04-24" "758"
"115" "1975-04-25" "733"
"116" "1975-04-26" "738"
"117" "1975-04-27" "738"
"118" "1975-04-28" "743"
"119" "1975-04-29" "779"
"120" "1975-04-30" "791"
"121" "1975-05-01" "806"
"122" "1975-05-02" "788"
"123" "1975-05-03" "780"
"124" "1975-05-04" "780"
"125" "1975-05-05" "772"
"126" "1975-05-06" "797"
"127" "1975-05-07" "807"
"128" "1975-05-08" "795"
"129" "1975-05-09" "779"
"130" "1975-05-10" "782"
"131" "1975-05-11" "783"
"132" "1975-05-12" "787"
"133" "1975-05-13" "788"
"134" "1975-05-14" "788"
"135" "1975-05-15" "799"
"136" "1975-05-16" "793"
"137" "1975-05-17" "766"
"138" "1975-05-18" "767"
"139" "1975-05-19" "740"
"140" "1975-05-20" "734"
"141" "1975-05-21" "735"
"142" "1975-05-22" "731"
"143" "1975-05-23" "726"
"144" "1975-05-24" "721"
"145" "1975-05-25" "717"
"146" "1975-05-26" "712"
"147" "1975-05-27" "707"
"148" "1975-05-28" "703"
"149" "1975-05-29" "698"
"150" "1975-05-30" "712"
"151" "1975-05-31" "748"
"152" "1975-06-01" "749"
"153" "1975-06-02" "786"
"154" "1975-06-03" "804"
"155" "1975-06-04" "783"
"156" "1975-06-05" "767"
"157" "1975-06-06" "718"
"158" "1975-06-07" "700"
"159" "1975-06-08" "701"
"160" "1975-06-09" "683"
"161" "1975-06-10" "705"
"162" "1975-06-11" "704"
"163" "1975-06-12" "700"
"164" "1975-06-13" "693"
"165" "1975-06-14" "697"
"166" "1975-06-15" "697"
"167" "1975-06-16" "701"
"168" "1975-06-17" "720"
"169" "1975-06-18" "723"
"170" "1975-06-19" "723"
"171" "1975-06-20" "702"
"172" "1975-06-21" "694"
"173" "1975-06-22" "695"
"174" "1975-06-23" "687"
"175" "1975-06-24" "709"
"176" "1975-06-25" "703"
"177" "1975-06-26" "702"
"178" "1975-06-27" "705"
"179" "1975-06-28" "696"
"180" "1975-06-29" "696"
"181" "1975-06-30" "687"
"182" "1975-07-01" "701"
"183" "1975-07-02" "699"
"184" "1975-07-03" "700"
"185" "1975-07-04" "694"
"186" "1975-07-05" "688"
"187" "1975-07-06" "688"
"188" "1975-07-07" "682"
"189" "1975-07-08" "708"
"190" "1975-07-09" "712"
"191" "1975-07-10" "712"
"192" "1975-07-11" "701"
"193" "1975-07-12" "696"
"194" "1975-07-13" "696"
"195" "1975-07-14" "691"
"196" "1975-07-15" "713"
"197" "1975-07-16" "711"
"198" "1975-07-17" "710"
"199" "1975-07-18" "691"
"200" "1975-07-19" "681"
"201" "1975-07-20" "681"
"202" "1975-07-21" "671"
"203" "1975-07-22" "700"
"204" "1975-07-23" "696"
"205" "1975-07-24" "698"
"206" "1975-07-25" "674"
"207" "1975-07-26" "650"
"208" "1975-07-27" "650"
"209" "1975-07-28" "626"
"210" "1975-07-29" "632"
"211" "1975-07-30" "631"
"212" "1975-07-31" "637"
"213" "1975-08-01" "628"
"214" "1975-08-02" "626"
"215" "1975-08-03" "626"
"216" "1975-08-04" "624"
"217" "1975-08-05" "641"
"218" "1975-08-06" "638"
"219" "1975-08-07" "637"
"220" "1975-08-08" "632"
"221" "1975-08-09" "647"
"222" "1975-08-10" "647"
"223" "1975-08-11" "662"
"224" "1975-08-12" "682"
"225" "1975-08-13" "683"
"226" "1975-08-14" "690"
"227" "1975-08-15" "687"
"228" "1975-08-16" "688"
"229" "1975-08-17" "687"
"230" "1975-08-18" "688"
"231" "1975-08-19" "715"
"232" "1975-08-20" "713"
"233" "1975-08-21" "711"
"234" "1975-08-22" "709"
"235" "1975-08-23" "707"
"236" "1975-08-24" "705"
"237" "1975-08-25" "703"
"238" "1975-08-26" "701"
"239" "1975-08-27" "699"
"240" "1975-08-28" "698"
"241" "1975-08-29" "694"
"242" "1975-08-30" "696"
"243" "1975-08-31" "696"
"244" "1975-09-01" "698"
"245" "1975-09-02" "717"
"246" "1975-09-03" "724"
"247" "1975-09-04" "724"
"248" "1975-09-05" "715"
"249" "1975-09-06" "709"
"250" "1975-09-07" "708"
"251" "1975-09-08" "702"
"252" "1975-09-09" "726"
"253" "1975-09-10" "725"
"254" "1975-09-11" "736"
"255" "1975-09-12" "746"
"256" "1975-09-13" "755"
"257" "1975-09-14" "755"
"258" "1975-09-15" "764"
"259" "1975-09-16" "794"
"260" "1975-09-17" "766"
"261" "1975-09-18" "760"
"262" "1975-09-19" "750"
"263" "1975-09-20" "737"
"264" "1975-09-21" "737"
"265" "1975-09-22" "724"
"266" "1975-09-23" "742"
